2020,2025,2030,2035,2040,2045,2050,2055,2060
22955.116579188583,23061.81682454422,23417.02313938043,23772.229454216642,24347.935970549628,24923.642486882614,25689.535947684308,26455.429408485998,27340.53067332809
12078.610919783017,12028.550359332257,12094.948070483724,12161.345781635191,12325.516727941022,12489.687674246852,12740.159141650054,12990.630609053256,13314.870839352012
24608.33240658111,24734.18210160361,25122.815708687798,25511.449315771984,26131.14379963122,26750.838283490455,27566.91322326077,28382.988163031085,29318.487809362636
16839.768757172635,16850.04009050317,17039.46687967317,17228.89366884317,17579.500650462876,17930.10763208258,18430.76481023331,18931.421988384045,19558.443877031095
15469.022781918085,15451.75568594459,15591.260200789493,15730.764715634394,16007.246764051077,16283.728812467758,16685.340257438955,17086.951702410148,17596.842364731914
22852.30610349487,22957.80005605508,23310.8962954347,23663.992534814326,24236.915455922768,24809.838377031214,25572.5484835132,26335.258589995192,27217.155460867558
22134.577344413487,22231.607096365733,22569.87570007851,22908.14430379129,23461.480351855356,24014.816399919422,24755.099459735415,25495.38251955141,26354.681097231492
63836.72914499705,64194.20697272926,65060.71147554237,65927.21597835548,67146.19862694704,68365.18127553858,69722.93039309818,71080.67951065778,72233.05137647885
72103.6278861682,72401.23672589503,73248.46910391258,74095.70148193013,75316.00440885812,76536.30733578611,77901.22785566923,79266.14837555235,80421.1824407446
20655.62014812805,20708.799727167105,20978.69848957501,21248.597251982916,21710.314500737128,22172.03174949134,22805.898186184946,23439.764622878556,24208.36511753066
32613.026592738235,32861.02096998889,33442.18367351459,34023.346377040296,34880.56635018566,35737.78632333102,36789.66421926688,37841.54211520274,38908.736562383696
47572.89099588924,47911.08163755808,48677.97127493034,49444.860912302596,50546.990583672625,51649.120255042646,52969.541523925305,54289.96279280796,55612.80210042696
35350.97972485701,35622.22609146914,36245.51783442342,36868.8095773777,37780.376231207665,38691.94288503763,39803.662239620506,40915.38159420338,42040.904675843645
23160.934746529805,23270.044931329892,23629.46474484673,23988.88455836357,24570.146859517197,25151.409160670824,25923.65338875169,26695.897616832553,27587.389183068466
13114.981980448803,13071.839193315782,13156.011821770619,13240.184450225457,13431.80913432107,13623.433818416685,13909.889547282006,14196.345276147327,14562.95207372449
15654.111417589433,15638.60397435235,15781.792325622491,15924.980676892632,16206.809018701308,16488.637360509983,16896.953087154998,17305.268813800012,17822.680990690285
9838.12101295456,9777.032874175973,9806.3890654565,9835.745256737027,9936.406617864435,10037.067978991843,10194.486650572544,10351.905322153243,10548.82999662965
67155.57514997883,67493.13626168885,68356.2233725219,69219.31048335494,70443.4074564091,71667.50442946327,73033.00140190673,74398.4983743502,75557.10985751319
45533.92092132924,45865.38033299803,46613.49547588856,47361.61061877908,48437.90058757946,49514.19055637984,50806.43269575802,52098.67483513619,53395.77416352625
62101.93979815237,62467.672501782086,63333.683816647834,64199.69513151358,65413.570068294284,66627.44500507499,67978.54527687619,69329.64554867738,70475.97858657184
46218.02941574593,46551.95306892068,47306.602496203,48061.25192348532,49146.47793069093,50231.70393789656,51533.69581953627,52835.68770117597,54141.74191406573
35874.659458013266,36150.0306564011,36780.97681709147,37411.92297778184,38333.40299935984,39254.88302093783,40377.504872250116,41500.126723562404,42636.22280599577
20555.740131564802,20607.77977055039,20875.59309806508,21143.40642557977,21602.28300785505,22061.15959013033,22691.658442393957,23322.157294657587,24087.215221385348
21056.050937609427,21113.80159121268,21392.04259354344,21670.283595874196,22143.347665817717,22616.411735761234,23263.712304665063,23911.012873568892,24693.72758425692
25127.731002312357,25259.488600120505,25658.420433128267,26057.352266136033,26690.56222487853,27323.77218362103,28155.220424451953,28986.668665282876,29937.561851262726
25856.689741999617,25996.64017184011,26409.85318071287,26823.066189585632,27474.995427056114,28126.924664526596,28979.63151520955,29832.338365892498,30804.47933451325
31449.232458387043,31686.51422861757,32248.712960022633,32810.9116914277,33643.759317413926,34476.606943400155,35501.61216937653,36526.6173953529,37567.48405977106
8288.559637207982,8225.802496106382,8238.444792084465,8251.087088062548,8321.927979121569,8392.76887018059,8508.744895429743,8624.720920678898,8770.53108305148
56936.59811782581,57318.31904785878,58173.69811289552,59029.07717793226,60217.893279379095,61406.70938082593,62727.44182142631,64048.17426202669,65165.15802989885
16212.889865778736,16202.791139882322,16357.161666967102,16511.53219405188,16809.508885856416,17107.48557766095,17535.977080971323,17964.46858428169,18504.43929677681
12940.498666136335,12896.124447614453,12977.2424257375,13058.360403860548,13245.312035810031,13432.263667759515,13712.631398025365,13992.999128291216,14352.477196339918
38474.7113773578,38768.96953307352,39435.96778956504,40102.966046056565,41071.36157461611,42039.757103175645,43213.91452014822,44388.071937120796,45573.86352571058
53113.59537374826,53499.0442165153,54337.82234741358,55176.60047831186,56337.41856156505,57498.23664481824,58786.298626607444,60074.36060839666,61158.58515405392
28786.93206279159,28958.48836944026,29426.97071793887,29895.453066437483,30619.638889071153,31343.824711704827,32278.23549030617,33212.64626890752,34265.98098435818
33668.6358098266,33925.92492258473,34523.74686069248,35121.56879880024,36000.24098329157,36878.913167782914,37954.426186466604,39029.939205150295,40120.22580422325
19958.4588797066,20003.687384523517,20258.99497183303,20514.302559142547,20956.107732324366,21397.91290550619,22008.13586786765,22618.358830229114,23362.04870058367
10837.900256195353,10779.7992788079,10823.25200767542,10866.704736542943,10992.618950510292,11118.53316447764,11313.723400910192,11508.913637342743,11758.73398666738
19069.36765912093,19104.495287315614,19341.093233745,19577.691180174384,19993.829182634927,20409.96718509547,20989.576657473917,21569.18612985237,22280.486393590592
17704.39205093233,17724.190878624315,17931.92524175069,18139.659604877066,18515.85590769744,18892.052210517817,19423.68648185777,19955.320753197724,20615.542763124497
21156.38073197701,21215.276662942983,21495.603014631826,21775.92936632067,22251.82580134444,22727.72223636821,23378.371949831944,24029.02166329568,24815.25059393874
13027.654163030533,12983.891839795093,13066.532716901947,13149.1735940088,13338.45711156556,13527.74062912232,13811.148106608329,14094.555584094338,14457.594936949648
63211.77851214088,63572.39937648984,64438.905752911785,65305.41212933372,66522.74697615465,67740.0818229756,69095.6413755117,70451.2009280478,71601.61762575967
25960.98027448157,26102.09295730215,26517.332398697137,26932.571840092125,27587.155234183316,28241.738628274503,29097.456571808063,29953.174515341627,30928.321272583045
50226.91929188384,50571.0746481185,51359.228058252884,52147.38146838727,53279.5657432743,54411.750018161336,55764.894000461136,57118.037982760936,58470.115760876244
29521.434200937336,29700.54127797539,30182.31543441985,30664.089590864307,31405.62454995077,32147.159509037236,33101.10649272957,34055.053476421905,35127.67881835543
25544.040293571157,25680.49143442153,26087.604200174752,26494.716965927975,27138.653327000382,27782.58968807279,28626.22417767824,29469.85866728369,30432.937534058627
13465.99806884896,13425.408374288849,13515.794952162707,13606.181530036565,13807.26114705766,14008.340764078752,14307.071389985991,14605.802015893232,14986.736847625081
70827.18382042332,71136.29091590212,71988.8566158282,72841.4223157543,74064.0177590244,75286.61320229448,76653.07263311406,78019.53206393364,79176.9590824245
42453.79868915222,42771.62986758754,43487.40328443058,44203.17670127361,45235.90280928147,46268.62891728934,47513.27137228145,48757.91382727357,50010.692550110034
22339.284328145583,22438.735502120722,22781.250212226212,23123.764922331702,23682.714850444598,24241.664778557493,24988.380693457657,25735.09660835782,26600.881204508652
17318.804275927134,17334.33258812056,17533.90105428565,17733.46952045074,18098.278820659176,18463.08812086761,18980.962720519303,19498.83732017099,20144.334291913423
